name,amount
LILIJA,95
MONIQUE,95
SALOME,95
SHANI,95
BRENDA,94
CELINE,94
DAISY,94
HASMIK,94
MIJA,94
NAIRA,94
PETIMAT,94
DAROMIŁA,93
IWANNA,93
JOANA,93
KARALINA,93
MARTIKA,93
MIROSLAVA,93
ORIT,93
SORAYA,93
ALANA,92
AMINAT,92
DOINA,92
HADAR,92
JANETA,92
JANETTA,92
MICHELA,92
SOFYA,92
SYDONIA,92
ANYA,91
ELISE,91
EVGENIYA,91
FLORENCE,91
IRAIDA,91
ISABELA,91
MAI,91
NATALI,91
PAVLINA,91
TALI,91
VALERIE,91
VIYALETA,91
YEVHENIYA,91
ALBERTA,90
ANDRZELINA,90
ASYA,90
DERYA,90
ALIYA,89
BRUNHILDA,89
IVETA,89
JANE,89
KATHRYN,89
LEOPOLDA,89
MYRIAM,89
ROSITA,89
SAWA,89
YING,89
ANZELMA,88
CHANA,88
EVGENIIA,88
LADA,88
MAAYAN,88
NICOLETA,88
ROSWITA,88
THUY,88
AMÉLIE,87
ANABELLA,87
CAROLIN,87
ELLIE,87
HOLLY,87
KORALIA,87
SOLOMIYA,87
AYELET,86
DIANE,86
EFRAT,86
KAROLINE,86
KLARYSA,86
NAAMA,86
PHUONG,86
STEFANIYA,86
SUZAN,86
BURCU,85
EUZEBIA,85
GEORGIA,85
KERSTIN,85
ORYNA,85
WIOLA,85
YAN,85
DINARA,84
KHATUNA,84
KLOTYLDA,84
MATHILDA,84
RADZISŁAWA,84
SIGRID,84
ALODIA,83
ARIELA,83
ARMINE,83
DALIDA,83
KONSTANTYNA,83
NOAM,83
NONA,83
INGE,82
LYUDMILA,82
MARGARETTA,82
MELODY,82
NAWOJKA,82
RUBY,82
TEA,82
WALDEMARA,82
ARNIKA,81
FRANZISKA,81
HADAS,81
JING,81
JOANNE,81
KATHLEEN,81
MÁRIA,81
ROSALIA,81
TARSYLIA,81
VLADLENA,81
ALOJZJA,80
ANETTE,80
ANZHALIKA,80
AUDREY,80
CANSU,80
EINAT,80
FELICIA,80
GERTRUD,80
INBAL,80
JENIFER,80
LOUISA,80
MIŁA,80
THU,80
ALISON,79
BRIGIDA,79
CORINA,79
DOMINICA,79
ELİF,79
GIZEM,79
RIMMA,79
RUSŁANA,79
TEONA,79
ADELHEID,78
AMAL,78
ELIDIA,78
FLAWIA,78
JEKATIERINA,78
LI,78
TACJANA,78
VIKTORIJA,78
WENESA,78
YEVGENIYA,78
ALBA,77
ATENA,77
BERNADETTE,77
BÜŞRA,77
GINA,77
LUDMYŁA,77
ROSALIE,77
SILVANA,77
TESSA,77
WITA,77
ZAREMA,77
CHEN,76
EBRU,76
ESTELLE,76
GERARDA,76
MOR,76
CELIA,75
EDEN,75
GAYA,75
LECHOSŁAWA,75
LORETA,75
ORESTA,75
SYLVIE,75
ZAHRA,75
AIGERIM,74
ANTANINA,74
DAFNA,74
ELISABETTA,74
HAŁYNA,74
HORTENSJA,74
ILARIA,74
KLAVDIIA,74
KONRADA,74
MARKHA,74
MATILDE,74
NADEZDA,74
SASHA,74
WITOSŁAWA,74
ARIEL,73
ESMERALDA,73
LILLIANA,73
LIOR,73
MARIELA,73
MASZA,73
MERI,73
SELINA,73
TRAUTA,73
AALIYAH,72
DOBROMIRA,72
HEDWIG,72
KETEVAN,72
MAY,72
ODETTA,72
SERENA,72
SIBEL,72
TOSIA,72
ALEXA,71
ALINE,71
CATALEYA,71
IAROSLAVA,71
LAWINIA,71
LILIANE,71
NADINA,71
THEA,71
WITOLDA,71
ANABEL,70
MARLENE,70
MELA,70
MILADA,70
ROXANNE,70
SEVDA,70
SHEILA,70
SONYA,70
ALISHA,69
EMI,69
GALIA,69
GRYZELDA,69
LATIKA,69
LUANA,69
MILENIA,69
YULIANNA,69
ZELMA,69
ANKA,68
DORINA,68
HERMENEGILDA,68
JAQUELINE,68
JULIET,68
KAYAH,68
LAETITIA,68
LÉNA,68
LETIZIA,68
MARI,68
MIEROSŁAWA,68
RADA,68
ZYGMUNTA,68
AICHA,67
CHAJA,67
ELIZABET,67
ERIN,67
ERNESTA,67
HONG,67
INBAR,67
LIHI,67
MORAN,67
RUZANNA,67
SAFIYA,67
TANYA,67
VERONIQUE,67
ADELE,66
ALEKSA,66
EUDOKIA,66
FABIENNE,66
IELYZAVETA,66
JÚLIA,66
MARGARETHE,66
MARŻOLENA,66
REBECA,66
ROMI,66
ROMY,66
SIVAN,66
THANH,66
VASILISA,66
ZAIRA,66
ALEXIS,65
ANGIELIKA,65
ANTONELLA,65
EZGI,65
GALIT,65
GUDRUN,65
INDIRA,65
IVA,65
LAN,65
LELA,65
MELINA,65
MELITA,65
NELYA,65
NGOC,65
NICOLETTE,65
SOFÍA,65
ŚWIĘTOSŁAWA,65
WIRA,65
YEVDOKIIA,65
AISZA,64
ANISA,64
CATALINA,64
EDA,64
IVY,64
JOLITA,64
OR,64
RANIA,64
WŁODZISŁAWA,64
ELODIE,63
GIZELLA,63
KARIMA,63
LEE,63
LUDMYLA,63
MANANA,63
NATASCHA,63
RINA,63
RONIT,63
TANJA,63
VIVIANE,63
WALENTINA,63
AGATHE,62
ASTRYDA,62
BOHDANNA,62
DONNA,62
FERDYNANDA,62
GOHAR,62
GRACIELA,62
KARENA,62
KHADIZHAT,62
LIDZIYA,62
MARGIT,62
NADYA,62
ODETA,62
ROZANNA,62
SHIRLEY,62
TALIA,62
ANH,61
EMILI,61
FANNY,61
GALI,61
JARMILA,61
KATALIN,61
MYLANA,61
PRISCILLA,61
REUT,61
RUFINA,61
IRA,60
KARMELA,60
KLEOPATRA,60
LAVINIA,60
LIYA,60
LUDOSŁAWA,60
ÖZGE,60
SANDY,60
THERESA,60
ALWINA,59
ANNA-MARIIA,59
CHANTELLE,59
ELEANOR,59
GILI,59
LEJLA,59
MARGHERITA,59
NADIN,59
NICOLLE,59
THERESE,59
CHELSEA,58
DANIEL,58
DUYGU,58
EDELGARDA,58
EVE,58
EVGENIA,58
GAMZE,58
IOANA,58
LALI,58
LOTTA,58
MARIAMI,58
MARISSA,58
RIVKA,58
SANTANA,58
SHELLY,58
TAMARI,58
CHARLOTTA,57
IMELDA,57
LIDWINA,57
MERIEM,57
RAYISA,57
ROXANNA,57
SAMUELA,57
SHAHAR,57
THI THUY,57
WIĘCESŁAWA,57
YUSTYNA,57
ANAIS,56
ASENATA,56
CAROL,56
CEZARIA,56
DYONIZA,56
EKATERINE,56
GEMMA,56
ILSE,56
IRIT,56
JEANNETTE,56
KATHY,56
MARCELLA,56
MIKAELA,56
PATRYCIA,56
PHOEBE,56
TONIA,56
WEI,56
ZYGLINDA,56
ALLISON,55
ANNABEL,55
ASLI,55
AYSHAT,55
BAZHENA,55
DENIZ,55
FREYA,55
HANNELORA,55
HIACENTA,55
IVANKA,55
KATYA,55
KRZESISŁAWA,55
ŁARISA,55
NADA,55
PINAR,55
RADOMIŁA,55
