,Nazwisko aktualne;Liczba
957,DOLATA;2625
958,GRABSKA;2624
959,BŁAŻEJEWSKA;2623
960,GRELA;2623
961,BARTNICKA;2620
962,BERNAT;2617
963,ADAMCZEWSKA;2616
964,BARON;2616
965,WINNICKA;2616
966,STACHOWSKA;2614
967,CICHOSZ;2613
968,ZASADA;2607
969,WACHOWIAK;2605
970,WĄSOWSKA;2605
971,ZAWISZA;2605
972,KOZYRA;2604
973,LACHOWICZ;2603
974,MYŚLIWIEC;2603
975,DOLIŃSKA;2602
976,MODRZEJEWSKA;2602
977,MROWIEC;2599
978,ĆWIKLIŃSKA;2595
979,MIECZKOWSKA;2595
980,ZAWISTOWSKA;2593
981,ŁOŚ;2592
982,PLEWA;2585
983,ŚWITAŁA;2585
984,KOZERA;2582
985,PIĘTA;2581
986,GAJ;2579
987,STENCEL;2579
988,WIELGOSZ;2573
989,BIEL;2572
990,KULIKOWSKA;2572
991,OKOŃ;2572
992,GALIŃSKA;2570
993,TYMIŃSKA;2567
994,SZADKOWSKA;2562
995,GAZDA;2561
996,JEDYNAK;2559
997,BŁOŃSKA;2558
998,WALIGÓRA;2554
999,ZIMNA;2552
1000,GAŁECKA;2551
1001,KRASKA;2549
1002,MORAWIEC;2546
1003,MAJDA;2541
1004,RÓG;2541
1005,KOZICKA;2540
1006,JASKÓLSKA;2539
1007,WŁOCH;2537
1008,BERNACKA;2535
1009,BUREK;2533
1010,BIAŁA;2531
1011,NADOLSKA;2530
1012,SZWEDA;2530
1013,KAPICA;2529
1014,DZIURA;2528
1015,KOŚCIELNIAK;2525
1016,SZCZEPANEK;2523
1017,MUSIOŁ;2522
1018,SARNOWSKA;2522
1019,OZGA;2516
1020,FIGIEL;2512
1021,KLIMAS;2512
1022,FRANCZAK;2511
1023,SKWAREK;2507
1024,BOROŃ;2504
1025,ŁACH;2504
1026,WILCZEWSKA;2501
1027,SOBOCIŃSKA;2497
1028,BIEŃ;2493
1029,KRAUSE;2490
1030,MIŚ;2487
1031,LEMAŃSKA;2486
1032,KOSTRZEWSKA;2485
1033,FILIPCZAK;2482
1034,NIEZGODA;2481
1035,SKORUPSKA;2481
